iter	Logloss
0	0.6881139483
1	0.6829159328
2	0.6778865269
3	0.6726511274
4	0.6677308219
5	0.6626274109
6	0.6581734249
7	0.6533406394
8	0.6483743395
9	0.6430725643
10	0.6385955811
11	0.6340708051
12	0.6294826508
13	0.6247274126
14	0.6217073168
15	0.6187124525
16	0.6150022234
17	0.611177063
18	0.6074061802
19	0.604416057
20	0.6010383606
21	0.5971375057
22	0.5932188851
23	0.5899390084
24	0.587386322
25	0.5841965812
26	0.5807500022
27	0.5773824419
28	0.5740587507
29	0.5711021423
30	0.5684019906
31	0.565379061
32	0.5627350943
33	0.5603112357
34	0.5578093393
35	0.5547605242
36	0.5516405923
37	0.5492893764
38	0.5461681911
39	0.5435309274
40	0.5411747524
41	0.538350296
42	0.5362666539
43	0.5350940704
44	0.5328763144
45	0.5301116943
46	0.5276899065
47	0.5255304609
48	0.5238674164
49	0.5216947283
50	0.5192375183
51	0.5175852094
52	0.515681839
53	0.5137120383
54	0.5121585846
55	0.5102520534
56	0.508191027
57	0.5063585009
58	0.5039420537
59	0.502772195
60	0.5014751979
61	0.4997678484
62	0.4975400652
63	0.4953896659
64	0.4936591557
65	0.4928996495
66	0.4909701756
67	0.4902393886
68	0.4884589059
69	0.4869687762
70	0.4852014814
71	0.4841902052
72	0.4828323364
73	0.4814883641
74	0.4803477696
75	0.4787163326
76	0.4768224989
77	0.475302124
78	0.4739374978
79	0.472485733
80	0.4706635066
81	0.4691083636
82	0.4677140372
83	0.4664261954
84	0.4655269623
85	0.4640919277
86	0.4629172734
87	0.4617503575
88	0.4603173392
89	0.4592951093
90	0.4580240522
91	0.4570974077
92	0.4561688559
93	0.4553413119
94	0.4543457576
95	0.4533244814
96	0.4528884615
97	0.4518129894
98	0.4514072691
99	0.4502525875
100	0.449120576
101	0.4482216426
102	0.4469346183
103	0.4458521162
104	0.4445910318
105	0.4434386117
106	0.4424676895
107	0.4416280474
108	0.4409887314
109	0.4398784637
110	0.4391866956
111	0.4383379255
112	0.4374022893
113	0.4368907384
114	0.4360304696
115	0.4354082108
116	0.4345212936
117	0.4342337745
118	0.4333007812
119	0.4325588499
120	0.4315741403
121	0.4313119071
122	0.4303842
123	0.4298624311
124	0.4291237422
125	0.428294754
126	0.4276086262
127	0.4267768315
128	0.4261729104
129	0.4258156095
130	0.4249669211
131	0.4241530282
132	0.423677281
133	0.4228467669
134	0.4221773965
135	0.4213535854
136	0.4205435889
137	0.4196541922
138	0.4191627502
139	0.4185994012
140	0.4181421552
141	0.4173061643
142	0.4167743138
143	0.4161096845
144	0.4155238833
145	0.4149106434
146	0.414497539
147	0.4137212481
148	0.4131893158
149	0.4125307628
150	0.4123726981
151	0.4120364325
152	0.4116167613
153	0.4108809062
154	0.4105210985
155	0.4098075322
156	0.4092422213
157	0.4085919516
158	0.4079810006
159	0.4074540274
160	0.4068414961
161	0.406429318
162	0.4057550158
163	0.4054210935
164	0.404807554
165	0.4043042864
166	0.4035493306
167	0.40339568
168	0.4026537759
169	0.40223029
170	0.4017242977
171	0.4013265337
172	0.4009014947
173	0.4006210055
174	0.4002791268
175	0.3999003002
176	0.399508013
177	0.3991249084
178	0.398711368
179	0.3982563019
180	0.3980116163
181	0.397766304
182	0.397495842
183	0.3972012656
184	0.3968163082
185	0.396326501
186	0.3959772382
187	0.3955084937
188	0.3951162883
189	0.3947223936
190	0.3944144385
191	0.3939606258
192	0.3936246055
193	0.3933019366
194	0.3931304659
195	0.3925934655
196	0.3922237396
197	0.391879218
198	0.3914783478
199	0.3910140991
200	0.3907389232
201	0.3901890891
202	0.389989199
